Sample Name	Protocol REF	Parameter Value[season]	Assay Name
AO08107	phenotyping	2008	assay-name_(2832613-2008)
AO08112	phenotyping	2008	assay-name_(2832596-2008)
AO08202	phenotyping	2008	assay-name_(2832615-2008)
Apache	phenotyping	2008	assay-name_(2832598-2008)
CF07002	phenotyping	2008	assay-name_(2832618-2008)
CF07008	phenotyping	2008	assay-name_(2832619-2008)
CF07018	phenotyping	2008	assay-name_(2832600-2008)
CF07021	phenotyping	2008	assay-name_(2832616-2008)
CF07022	phenotyping	2008	assay-name_(2832617-2008)
CF07037	phenotyping	2008	assay-name_(2832599-2008)
CF07057	phenotyping	2008	assay-name_(2832601-2008)
Caphorn	phenotyping	2008	assay-name_(2832603-2008)
DI08001	phenotyping	2008	assay-name_(2832604-2008)
DI08002	phenotyping	2008	assay-name_(2832605-2008)
DI08003	phenotyping	2008	assay-name_(2832606-2008)
DI08004	phenotyping	2008	assay-name_(2832607-2008)
DI08005	phenotyping	2008	assay-name_(2832608-2008)
DI08006	phenotyping	2008	assay-name_(2832609-2008)
DI08007	phenotyping	2008	assay-name_(2832585-2008)
EM07085	phenotyping	2008	assay-name_(2832586-2008)
EM07118	phenotyping	2008	assay-name_(2832597-2008)
EM07186	phenotyping	2008	assay-name_(2832584-2008)
Grapeli	phenotyping	2008	assay-name_(2832594-2008)
Mendel	phenotyping	2008	assay-name_(2832610-2008)
Premio	phenotyping	2008	assay-name_(2832583-2008)
RE07002	phenotyping	2008	assay-name_(2832614-2008)
RE07004	phenotyping	2008	assay-name_(2832591-2008)
RE07005	phenotyping	2008	assay-name_(2832582-2008)
RE07006	phenotyping	2008	assay-name_(2832612-2008)
RE07011	phenotyping	2008	assay-name_(2832587-2008)
RE07012	phenotyping	2008	assay-name_(2832588-2008)
RE07013	phenotyping	2008	assay-name_(2832589-2008)
RE07015	phenotyping	2008	assay-name_(2832590-2008)
RE07017	phenotyping	2008	assay-name_(2832592-2008)
RE07019	phenotyping	2008	assay-name_(2832593-2008)
RE07025	phenotyping	2008	assay-name_(2832611-2008)
Sankara	phenotyping	2008	assay-name_(2832602-2008)
Toisondor	phenotyping	2008	assay-name_(2832595-2008)
