Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[itk]
APACHE	NCBI:4565	Triticum	aestivum	subsp. aestivum	13481	https://doi.org/10.15454/V8WRHY	sample collection	Apacheitkt	VIRTUAL_TRIAL		treated
APACHE	NCBI:4565	Triticum	aestivum	subsp. aestivum	13481	https://doi.org/10.15454/V8WRHY	sample collection	Apacheitkfi	VIRTUAL_TRIAL		low inputs
CF00057	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF00057	gnpis_pui:unknown:Wheat:CF00057	sample collection	CF00057itkt	VIRTUAL_TRIAL		treated
CF00057	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF00057	gnpis_pui:unknown:Wheat:CF00057	sample collection	CF00057itkfi	VIRTUAL_TRIAL		low inputs
CF01108	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF01108	gnpis_pui:unknown:Wheat:CF01108	sample collection	CF01108itkt	VIRTUAL_TRIAL		treated
CF01108	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF01108	gnpis_pui:unknown:Wheat:CF01108	sample collection	CF01108itkfi	VIRTUAL_TRIAL		low inputs
CF01185	NCBI:4565	Triticum	aestivum	subsp. aestivum	24600	https://doi.org/10.15454/LCAXP3	sample collection	CF01185itkt	VIRTUAL_TRIAL		treated
CF01185	NCBI:4565	Triticum	aestivum	subsp. aestivum	24600	https://doi.org/10.15454/LCAXP3	sample collection	CF01185itkfi	VIRTUAL_TRIAL		low inputs
CF02040	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF02040	gnpis_pui:unknown:Wheat:CF02040	sample collection	CF02040itkfi	VIRTUAL_TRIAL		low inputs
CF02040	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF02040	gnpis_pui:unknown:Wheat:CF02040	sample collection	CF02040itkt	VIRTUAL_TRIAL		treated
CF02170	NCBI:4565	Triticum	aestivum	subsp. aestivum	24596	https://doi.org/10.15454/LV5TNC	sample collection	CF02170itkt	VIRTUAL_TRIAL		treated
CF02170	NCBI:4565	Triticum	aestivum	subsp. aestivum	24596	https://doi.org/10.15454/LV5TNC	sample collection	CF02170itkfi	VIRTUAL_TRIAL		low inputs
CF02242	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF02242	gnpis_pui:unknown:Wheat:CF02242	sample collection	CF02242itkfi	VIRTUAL_TRIAL		low inputs
CF02242	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF02242	gnpis_pui:unknown:Wheat:CF02242	sample collection	CF02242itkt	VIRTUAL_TRIAL		treated
CF02252	NCBI:4565	Triticum	aestivum	subsp. aestivum	24597	https://doi.org/10.15454/9B1QCJ	sample collection	CF02252itkt	VIRTUAL_TRIAL		treated
